Old stable ID, New stable ID, Release, Mapping score
ENSG00000150076.17, ENSG00000150076.18, 71, 0.986832
ENSG00000150076.18, ENSG00000150076.19, 76, 0.974415
ENSG00000150076.19, ENSG00000150076.20, 77, 0.929825
ENSG00000150076.20, ENSG00000150076.21, 79, 1
ENSG00000150076.21, ENSG00000150076.22, 81, 1
ENSG00000150076.22, ENSG00000150076.23, 85, 0.921443
ENSG00000150076.23, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000150526.1, ENSG00000150526.2, 15, 0
ENSG00000150526.2, ENSG00000150526.3, 26, 0
ENSG00000150526.3, ENSG00000150526.4, 47, 0.917656
ENSG00000150526.4, ENSG00000150526.5, 50, 0.942784
ENSG00000150526.5, ENSG00000150526.6, 56, 0.99654
ENSG00000150526.6, ENSG00000150526.7, 64, 0.843641
ENSG00000150526.7, ENSG00000150526.8, 76, 1
ENSG00000150526.8, ENSG00000150526.9, 77, 1
ENSG00000150526.9, ENSG00000150526.10, 79, 0.886876
ENSG00000150526.10, ENSG00000150526.11, 81, 1
ENSG00000150526.11, ENSG00000150526.12, 88, 0.998517
ENSG00000150526.12, <retired>, 90, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000155640.1, ENSG00000155640.2, 38, 0
ENSG00000155640.2, ENSG00000155640.3, 47, 0.648255
ENSG00000155640.3, ENSG00000155640.4, 62, 0.947703
ENSG00000155640.4, ENSG00000155640.5, 68, 0.956771
ENSG00000155640.5, ENSG00000155640.6, 76, 0.960743
ENSG00000155640.6, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000166748.1, ENSG00000166748.2, 21, 0
ENSG00000166748.2, ENSG00000166748.3, 26, 0
ENSG00000166748.3, ENSG00000166748.4, 40, 0.575192
ENSG00000166748.4, ENSG00000166748.5, 47, 0.706119
ENSG00000166748.5, ENSG00000166748.6, 55, 0.977192
ENSG00000166748.6, ENSG00000166748.7, 62, 0.973841
ENSG00000166748.7, ENSG00000166748.8, 66, 0.912829
ENSG00000166748.8, ENSG00000166748.9, 76, 0.972498
ENSG00000166748.9, ENSG00000166748.10, 77, 1
ENSG00000166748.10, ENSG00000166748.11, 79, 1
ENSG00000166748.11, ENSG00000166748.12, 81, 1
ENSG00000166748.12, ENSG00000166748.13, 85, 0.798226
ENSG00000166748.13, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000167945.1, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000168260.1, ENSG00000168260.2, 77, 0.906667
ENSG00000168260.2, ENSG00000168260.3, 81, 0.882667
ENSG00000168260.3, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000168787.1, ENSG00000168787.2, 26, 0
ENSG00000168787.2, ENSG00000168787.3, 38, 0
ENSG00000168787.3, ENSG00000168787.4, 47, 0.944302
ENSG00000168787.4, ENSG00000168787.5, 76, 0.937478
ENSG00000168787.5, ENSG00000168787.6, 77, 0.93218
ENSG00000168787.6, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000170590.1, ENSG00000170590.2, 26, 0
ENSG00000170590.2, ENSG00000170590.3, 47, 0.79993
ENSG00000170590.3, ENSG00000170590.4, 55, 1
ENSG00000170590.4, ENSG00000170590.5, 76, 0.982916
ENSG00000170590.5, ENSG00000170590.6, 77, 1
ENSG00000170590.6, ENSG00000170590.7, 79, 1
ENSG00000170590.7, ENSG00000170590.8, 81, 1
ENSG00000170590.8, ENSG00000170590.9, 85, 0.982916
ENSG00000170590.9, <retired>, 90, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000170647.1, ENSG00000170647.2, 38, 0
ENSG00000170647.2, ENSG00000170647.3, 76, 0.974398
ENSG00000170647.3, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000170803.1, ENSG00000170803.2, 27, 0
ENSG00000170803.2, ENSG00000170803.3, 38, 0
ENSG00000170803.3, ENSG00000170803.4, 55, 0.975885
ENSG00000170803.4, ENSG00000170803.5, 77, 0.976453
ENSG00000170803.5, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000171484.1, ENSG00000171484.2, 38, 0
ENSG00000171484.2, ENSG00000171484.3, 62, 0.980533
ENSG00000171484.3, ENSG00000171484.4, 77, 0.980905
ENSG00000171484.4, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000172381.1, ENSG00000172381.2, 55, 0.975959
ENSG00000172381.2, ENSG00000172381.3, 62, 0.999501
ENSG00000172381.3, ENSG00000172381.4, 77, 0.976048
ENSG00000172381.4, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000172774.1, ENSG00000172774.2, 15, 0
ENSG00000172774.2, ENSG00000172774.3, 18.1, 0
ENSG00000172774.3, ENSG00000172774.4, 26, 0
ENSG00000172774.4, ENSG00000172774.5, 38, 0
ENSG00000172774.5, ENSG00000172774.6, 61, 0.999642
ENSG00000172774.6, ENSG00000172774.7, 77, 0.999489
ENSG00000172774.7, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000173088.1, ENSG00000173088.2, 15, 0
ENSG00000173088.2, ENSG00000173088.3, 38, 0
ENSG00000173088.3, ENSG00000173088.4, 47, 0.996009
ENSG00000173088.4, ENSG00000173088.5, 55, 0.906175
ENSG00000173088.5, ENSG00000173088.6, 56, 0.964657
ENSG00000173088.6, ENSG00000173088.7, 62, 0.934778
ENSG00000173088.7, ENSG00000173088.8, 71, 0.74335
ENSG00000173088.8, ENSG00000173088.9, 76, 0.97151
ENSG00000173088.9, ENSG00000173088.10, 77, 1
ENSG00000173088.10, ENSG00000173088.11, 79, 1
ENSG00000173088.11, ENSG00000173088.12, 81, 1
ENSG00000173088.12, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000174942.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000175393.1, ENSG00000175393.2, 61, 0.958738
ENSG00000175393.2, ENSG00000175393.3, 77, 0.958738
ENSG00000175393.3, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000176075.1, ENSG00000176075.2, 15, 0
ENSG00000176075.2, ENSG00000176075.3, 47, 0.957429
ENSG00000176075.3, ENSG00000176075.4, 55, 0.990206
ENSG00000176075.4, ENSG00000176075.5, 58, 0.959242
ENSG00000176075.5, ENSG00000176075.6, 62, 0.959242
ENSG00000176075.6, ENSG00000176075.7, 76, 0.990943
ENSG00000176075.7, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000176879.1, ENSG00000176879.2, 62, 0.931983
ENSG00000176879.2, ENSG00000176879.3, 76, 0.936314
ENSG00000176879.3, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000176937.1, ENSG00000176937.2, 15, 0
ENSG00000176937.2, ENSG00000176937.3, 18.1, 0
ENSG00000176937.3, ENSG00000176937.4, 26, 0
ENSG00000176937.4, ENSG00000176937.5, 27, 0
ENSG00000176937.5, ENSG00000176937.6, 38, 0
ENSG00000176937.6, ENSG00000176937.7, 47, 0.819597
ENSG00000176937.7, ENSG00000176937.8, 62, 0.972906
ENSG00000176937.8, ENSG00000176937.9, 76, 0.961538
ENSG00000176937.9, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000178193.1, ENSG00000178193.2, 15, 0
ENSG00000178193.2, ENSG00000178193.3, 47, 0.646037
ENSG00000178193.3, ENSG00000178193.4, 55, 0.0757576
ENSG00000178193.4, ENSG00000178193.5, 72, 0.953942
ENSG00000178193.5, ENSG00000178193.5, 92, 0.72
ENSG00000178193.5, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000179979.1, ENSG00000179979.2, 26, 0
ENSG00000179979.2, ENSG00000179979.3, 38, 0
ENSG00000179979.3, ENSG00000179979.4, 47, 0.986863
ENSG00000179979.4, ENSG00000179979.5, 50, 0.94854
ENSG00000179979.5, ENSG00000179979.6, 62, 0.771048
ENSG00000179979.6, ENSG00000179979.7, 68, 0.945335
ENSG00000179979.7, ENSG00000179979.8, 76, 0.999662
ENSG00000179979.8, <retired>, 90, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000181395.1, ENSG00000181395.2, 15, 0
ENSG00000181395.2, ENSG00000181395.3, 18.1, 0
ENSG00000181395.3, ENSG00000181395.4, 55, 0.861802
ENSG00000181395.4, ENSG00000181395.5, 62, 0.983598
ENSG00000181395.5, ENSG00000181395.6, 74, 0.912167
ENSG00000181395.6, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000181689.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000181935.1, ENSG00000181935.2, 15, 0
ENSG00000181935.2, ENSG00000181935.3, 18.1, 0
ENSG00000181935.3, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000182109.1, ENSG00000182109.2, 55, 0.586075
ENSG00000182109.2, ENSG00000182109.3, 56, 0.951261
ENSG00000182109.3, ENSG00000182109.4, 76, 1
ENSG00000182109.4, ENSG00000182109.5, 77, 1
ENSG00000182109.5, ENSG00000182109.6, 79, 1
ENSG00000182109.6, ENSG00000182109.7, 81, 1
ENSG00000182109.7, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000183130.1, ENSG00000183130.2, 62, 0.940188
ENSG00000183130.2, ENSG00000183130.3, 76, 0.943563
ENSG00000183130.3, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000184682.1, ENSG00000184682.2, 38, 0
ENSG00000184682.2, ENSG00000184682.3, 47, 0.491071
ENSG00000184682.3, ENSG00000184682.4, 55, 0.967373
ENSG00000184682.4, ENSG00000184682.5, 62, 0.935067
ENSG00000184682.5, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000184881.1, ENSG00000184881.2, 55, 0.948006
ENSG00000184881.2, ENSG00000184881.3, 76, 0.950576
ENSG00000184881.3, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000185041.1, ENSG00000185041.2, 55, 0.995
ENSG00000185041.2, ENSG00000185041.3, 58, 0.96624
ENSG00000185041.3, ENSG00000185041.4, 62, 0.997502
ENSG00000185041.4, ENSG00000185041.5, 76, 0.997769
ENSG00000185041.5, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000185087.1, ENSG00000185087.2, 21, 0
ENSG00000185087.2, ENSG00000185087.3, 26, 0
ENSG00000185087.3, ENSG00000185087.4, 50, 0.309312
ENSG00000185087.4, ENSG00000185087.5, 55, 0.936326
ENSG00000185087.5, ENSG00000185087.6, 62, 0.968568
ENSG00000185087.6, ENSG00000185087.7, 65, 0.990818
ENSG00000185087.7, ENSG00000185087.8, 76, 0.971065
ENSG00000185087.8, ENSG00000185087.9, 77, 1
ENSG00000185087.9, ENSG00000185087.10, 79, 1
ENSG00000185087.10, ENSG00000185087.11, 81, 1
ENSG00000185087.11, ENSG00000185087.12, 85, 0.701177
ENSG00000185087.12, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000186117.1, ENSG00000186117.2, 55, 0.943707
ENSG00000186117.2, ENSG00000186117.3, 76, 0.925842
ENSG00000186117.3, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000186223.1, ENSG00000186223.2, 55, 0.979464
ENSG00000186223.2, ENSG00000186223.3, 61, 0.966014
ENSG00000186223.3, ENSG00000186223.4, 62, 0.96578
ENSG00000186223.4, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000186232.1, ENSG00000186232.2, 61, 0.966014
ENSG00000186232.2, ENSG00000186232.3, 76, 0.999142
ENSG00000186232.3, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000186354.1, ENSG00000186354.2, 26, 0
ENSG00000186354.2, ENSG00000186354.3, 38, 0
ENSG00000186354.3, ENSG00000186354.4, 47, 0.51812
ENSG00000186354.4, ENSG00000186354.5, 55, 0.94242
ENSG00000186354.5, ENSG00000186354.6, 56, 0.99147
ENSG00000186354.6, ENSG00000186354.7, 76, 1
ENSG00000186354.7, ENSG00000186354.8, 77, 1
ENSG00000186354.8, ENSG00000186354.9, 79, 1
ENSG00000186354.9, ENSG00000186354.10, 81, 1
ENSG00000186354.10, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000186400.1, ENSG00000186400.2, 38, 0
ENSG00000186400.2, ENSG00000186400.3, 61, 0.991641
ENSG00000186400.3, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000187695.1, ENSG00000187695.2, 26, 0
ENSG00000187695.2, ENSG00000187695.3, 47, 0.993055
ENSG00000187695.3, ENSG00000187695.4, 58, 0.924005
ENSG00000187695.4, ENSG00000187695.5, 62, 0.998292
ENSG00000187695.5, ENSG00000187695.6, 71, 0.991427
ENSG00000187695.6, ENSG00000187695.7, 85, 0.923494
ENSG00000187695.7, ENSG00000187695.8, 88, 0.991787
ENSG00000187695.8, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000188069.1, ENSG00000188069.2, 26, 0
ENSG00000188069.2, ENSG00000188069.3, 38, 0
ENSG00000188069.3, ENSG00000188069.4, 77, 0.9963
ENSG00000188069.4, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000188206.1, ENSG00000188206.2, 38, 0
ENSG00000188206.2, ENSG00000188206.3, 50, 0.59247
ENSG00000188206.3, ENSG00000188206.4, 55, 0.267465
ENSG00000188206.4, ENSG00000188206.5, 56, 0.901341
ENSG00000188206.5, ENSG00000188206.6, 76, 0.865803
ENSG00000188206.6, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000188477.1, ENSG00000188477.2, 26, 0
ENSG00000188477.2, ENSG00000188477.3, 47, 0.389155
ENSG00000188477.3, ENSG00000188477.4, 55, 0.934579
ENSG00000188477.4, ENSG00000188477.5, 56, 0.629798
ENSG00000188477.5, ENSG00000188477.6, 58, 0.995234
ENSG00000188477.6, ENSG00000188477.7, 62, 0.97568
ENSG00000188477.7, ENSG00000188477.8, 66, 0.703709
ENSG00000188477.8, ENSG00000188477.9, 76, 0.949098
ENSG00000188477.9, ENSG00000188477.10, 77, 1
ENSG00000188477.10, ENSG00000188477.11, 79, 1
ENSG00000188477.11, ENSG00000188477.12, 81, 1
ENSG00000188477.12, ENSG00000188477.13, 85, 0.949098
ENSG00000188477.13, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000189393.1, ENSG00000189393.2, 38, 0
ENSG00000189393.2, ENSG00000189393.3, 47, 0.945906
ENSG00000189393.3, ENSG00000189393.4, 61, 0.966667
ENSG00000189393.4, ENSG00000189393.5, 62, 0.966667
ENSG00000189393.5, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000196661.1, ENSG00000196661.2, 38, 0
ENSG00000196661.2, ENSG00000196661.3, 61, 0.983448
ENSG00000196661.3, <retired>, 90, 0
ENSG00000196661.3, ENSG00000284680.1, 90, 0.96605
ENSG00000196661.3, ENSG00000284609.1, 90, 0.823502

Old stable ID, New stable ID, Release, Mapping score
ENSG00000196936.1, ENSG00000196936.2, 55, 0.960563
ENSG00000196936.2, ENSG00000196936.3, 62, 0.960562
ENSG00000196936.3, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000197263.1, ENSG00000197263.2, 61, 0.942124
ENSG00000197263.2, ENSG00000197263.3, 77, 0.94529
ENSG00000197263.3, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000197445.1, ENSG00000197445.2, 56, 0.999618
ENSG00000197445.2, ENSG00000197445.2, 77, 0.72
ENSG00000197445.2, <retired>, 90, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000198384.1, ENSG00000198384.2, 38, 0
ENSG00000198384.2, ENSG00000198384.3, 47, 0.585983
ENSG00000198384.3, ENSG00000198384.4, 55, 0.814209
ENSG00000198384.4, ENSG00000198384.5, 56, 0.903944
ENSG00000198384.5, ENSG00000198384.6, 58, 0.770126
ENSG00000198384.6, ENSG00000198384.7, 62, 0.78858
ENSG00000198384.7, ENSG00000198384.8, 76, 0.792831
ENSG00000198384.8, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000198657.1, ENSG00000198657.2, 61, 0.96875
ENSG00000198657.2, ENSG00000198657.3, 62, 0.996465
ENSG00000198657.3, ENSG00000198657.4, 76, 0.996465
ENSG00000198657.4, ENSG00000198657.5, 77, 0.969697
ENSG00000198657.5, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000198877.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000198986.1, ENSG00000198986.2, 76, 0.83945
ENSG00000198986.2, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000199004.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000199066.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000199071.2, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000199187.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000199727.1, ENSG00000199727.2, 76, 0.997653
ENSG00000199727.2, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000200037.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000200130.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000200649.1, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000200833.1, ENSG00000200833.2, 76, 0.995495
ENSG00000200833.2, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000201126.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000201204.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000201227.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000203386.1, ENSG00000203386.2, 55, 0.179472
ENSG00000203386.2, ENSG00000203386.3, 76, 1
ENSG00000203386.3, ENSG00000203386.4, 77, 1
ENSG00000203386.4, ENSG00000203386.5, 79, 1
ENSG00000203386.5, ENSG00000203386.6, 81, 1
ENSG00000203386.6, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000203589.1, ENSG00000203589.2, 55, 0.380263
ENSG00000203589.2, <retired>, 81, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000203819.1, ENSG00000203819.2, 47, 0.901139
ENSG00000203819.2, ENSG00000203819.3, 55, 0.540548
ENSG00000203819.3, ENSG00000203819.4, 56, 0.936635
ENSG00000203819.4, ENSG00000203819.5, 58, 0.886374
ENSG00000203819.5, ENSG00000203819.6, 70, 0.82108
ENSG00000203819.6, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000203886.1, ENSG00000203886.2, 50, 0.842764
ENSG00000203886.2, ENSG00000203886.3, 55, 0.827858
ENSG00000203886.3, ENSG00000203886.4, 56, 0.784384
ENSG00000203886.4, ENSG00000203886.4, 92, 0.72
ENSG00000203886.4, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000204187.1, ENSG00000204187.2, 47, 0.636794
ENSG00000204187.2, ENSG00000204187.3, 52, 0.999851
ENSG00000204187.3, ENSG00000204187.4, 55, 0.999851
ENSG00000204187.4, ENSG00000204187.5, 56, 0.999554
ENSG00000204187.5, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000204293.1, ENSG00000204293.2, 61, 0.990343
ENSG00000204293.2, ENSG00000284609.1, 90, 0.789221
ENSG00000204293.2, <retired>, 90, 0
ENSG00000204293.2, ENSG00000284680.1, 90, 0.975051

Old stable ID, New stable ID, Release, Mapping score
ENSG00000204365.1, ENSG00000204365.2, 55, 0.986192
ENSG00000204365.2, ENSG00000204365.3, 76, 0.990108
ENSG00000204365.3, ENSG00000204365.4, 77, 0.918702
ENSG00000204365.4, ENSG00000204365.5, 81, 0.923914
ENSG00000204365.5, ENSG00000204365.5, 90, 0.72
ENSG00000204365.5, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000204566.1, ENSG00000204566.2, 47, 0.586974
ENSG00000204566.2, ENSG00000204566.3, 50, 0.944187
ENSG00000204566.3, ENSG00000204566.4, 55, 0.908263
ENSG00000204566.4, ENSG00000204566.5, 62, 0.944187
ENSG00000204566.5, ENSG00000204566.6, 71, 0.954581
ENSG00000204566.6, ENSG00000204566.6, 77, 0.72
ENSG00000204566.6, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000204717.1, ENSG00000204717.2, 47, 0.767173
ENSG00000204717.2, ENSG00000204717.3, 55, 0.943846
ENSG00000204717.3, ENSG00000204717.4, 62, 0.870685
ENSG00000204717.4, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000205246.1, ENSG00000205246.2, 50, 0.855386
ENSG00000205246.2, ENSG00000205246.3, 55, 0.98653
ENSG00000205246.3, ENSG00000205246.4, 56, 0.55498
ENSG00000205246.4, ENSG00000205246.5, 76, 0.999111
ENSG00000205246.5, ENSG00000205246.6, 77, 1
ENSG00000205246.6, ENSG00000205246.7, 79, 1
ENSG00000205246.7, <retired>, 81, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000205662.1, ENSG00000205662.2, 55, 0.521562
ENSG00000205662.2, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000205663.1, ENSG00000205663.2, 47, 0.559846
ENSG00000205663.2, ENSG00000205663.3, 55, 0.678335
ENSG00000205663.3, ENSG00000205663.4, 58, 0.970689
ENSG00000205663.4, ENSG00000205663.5, 71, 0.874899
ENSG00000205663.5, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000205664.1, ENSG00000205664.2, 47, 0.748148
ENSG00000205664.2, ENSG00000205664.3, 55, 0.854828
ENSG00000205664.3, ENSG00000205664.4, 56, 0.659967
ENSG00000205664.4, ENSG00000205664.5, 58, 0.982687
ENSG00000205664.5, ENSG00000205664.6, 71, 0.902062
ENSG00000205664.6, ENSG00000205664.7, 76, 1
ENSG00000205664.7, ENSG00000205664.8, 77, 0.873199
ENSG00000205664.8, ENSG00000205664.9, 79, 1
ENSG00000205664.9, ENSG00000205664.10, 81, 1
ENSG00000205664.10, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000206483.1, ENSG00000206483.2, 47, 0.601677
ENSG00000206483.2, ENSG00000206483.3, 50, 0.940443
ENSG00000206483.3, ENSG00000206483.4, 58, 0.970645
ENSG00000206483.4, ENSG00000206483.5, 76, 0.908807
ENSG00000206483.5, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000206856.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000207339.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000207491.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000207556.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000207558.1, ENSG00000207558.2, 76, 0.863636
ENSG00000207558.2, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000207572.1, ENSG00000207572.2, 76, 0.831858
ENSG00000207572.2, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000207584.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
