"uniprotkb_canonical_ac","database_id","database_label"
"Q6NUQ1-1","NP_068749.3",""
"O60810-1","NP_001009611.2",""
"O60811-1","NP_075390.1",""
"B9ZVM9-1","NP_001138593.1",""
"O60548-1","NP_004465.3",""
"B2RXH8-1","NP_001130033.3",""
"Q8NC74-1","NP_543023.2",""
"Q8N8Y2-1","NP_689778.1",""
"Q8NGC9-1","NP_001004479.1",""
"A8MVW0-1","NP_940877.2",""
"Q9NYX4-1","NP_056537.1",""
"P40123-1","NP_006357.1",""
"Q8IWE4-1","NP_775746.1",""
"Q08170-1","NP_005617.2",""
"Q92730-1","NP_055285.1",""
"Q92733-1","NP_005964.3",""
"Q9H773-1","NP_077001.1",""
"Q92737-1","NP_006468.1",""
"O60609-1","NP_001487.2",""
"Q00765-1","NP_005660.4",""
"Q6IQ19-1","NP_660300.3",""
"Q6IQ16-1","NP_001001664.1",""
"Q5T2D3-1","NP_056022.1",""
"Q5BKT4-1","NP_116223.3",""
"P17693-1","NP_002118.1",""
"O00507-1","NP_004645.2",""
"O00505-1","NP_002258.2",""
"A0PJX8-1","NP_001013663.1",""
"P20132-1","NP_006834.2",""
"Q8N2R8-1","NP_710157.2",""
"P01008-1","NP_000479.1",""
"Q9BWT6-1","NP_115493.1",""
"B7U540-1","NP_001181887.2",""
"Q8NGN6-1","NP_001004463.1",""
"Q8IYD1-1","NP_060564.2",""
"Q8NGN2-1","NP_001004474.1",""
"Q8NGN3-1","NP_001004462.1",""
"Q8NGN0-1","NP_001001965.1",""
"Q8NGN1-1","NP_001005187.1",""
"Q96CX2-1","NP_612453.1",""
"O75396-1","NP_004883.3",""
"Q8IVD9-1","NP_056147.2",""
"Q99075-1","NP_001936.1",""
"Q8TE60-1","NP_955387.1",""
"Q8IW36-4","NP_001191150.1",""
"Q8N328-1","NP_736609.2",""
"Q96R69-1","NP_001004195.2",""
"Q8N326-1","NP_694976.1",""
"Q96R67-1","NP_001005270.3",""
"Q9P1V8-1","NP_001010860.1",""
"Q9BWW9-1","NP_085145.1",""
"P16885-1","NP_002652.2",""
"Q8WVD5-1","NP_057506.2",""
"P35504-1","NP_061951.1",""
"P0DJJ0-1","NP_001316913.1",""
"P98073-1","NP_002763.2",""
"P98077-1","NP_036567.2",""
"P28838-1","NP_056991.2",""
"Q9UGC6-1","NP_036551.3",""
"Q8NGH7-1","NP_001005173.3",""
"Q8WV15-1","NP_872420.1",""
"Q8WV19-1","NP_660152.1",""
"Q6UWS5-1","NP_001158283.1",""
"P24903-1","NP_000765.2",""
"Q5M8T2-1","NP_001008783.1",""
"A2RUS2-1","NP_055772.2",""
"P0DKV0-1","NP_001138596.1",""
"P20061-1","NP_001053.2",""
"Q86Z23-1","NP_001008224.1",""
"P22760-1","NP_001077.2",""
"Q6NUI1-1","NP_001004306.1",""
"Q07283-1","NP_009044.2",""
"P26651-1","NP_003398.2",""
"Q96LZ2-1","NP_872312.2",""
"Q96LZ3-1","NP_671709.1",""
"Q99929-1","NP_005161.1",""
"Q9H3P7-1","NP_073572.2",""
"Q9Y4K0-1","NP_002309.1",""
"O43739-1","NP_004218.1",""
"Q8NCW5-1","NP_658985.2",""
"Q6Y288-1","NP_919299.3",""
"Q9HA77-1","NP_078813.1",""
"Q9Y3A5-1","NP_057122.2",""
"O43323-1","NP_066382.1",""
"P49406-1","NP_055578.2",""
"P0DL12-1","NP_001180557.1",""
"Q96KF2-1","NP_115767.1",""
"P0CE67-1","NP_001094807.1",""
"Q0ZLH3-1","NP_001036167.1",""
"Q8IZJ0-1","NP_742150.1",""
"Q7Z7F0-1","NP_055764.2",""
"Q6NXP0-1","NP_997190.1",""
"Q3SY17-1","NP_001029344.3",""
"Q9NY30-1","NP_060059.1",""
"Q9BY21-1","NP_076404.3",""
"Q9BY27-1","NP_150282.2",""
"O14684-1","NP_004869.1",""
"Q9Y3A2-1","NP_057121.2",""
"Q6FHJ7-1","NP_003005.2",""
"Q00978-1","NP_006075.3",""
"Q7Z713-1","NP_859077.1",""
"P22888-1","NP_000224.2",""
"Q3SYF9-1","NP_853645.1",""
"Q63HM9-1","NP_001005473.1",""
"O75437-1","NP_975011.3",""
"O95755-1","NP_004905.2",""
"O95751-1","NP_036449.1",""
"O95750-1","NP_005108.1",""
"Q8WWC4-1","NP_078796.2",""
"P13349-1","NP_005584.2",""
"Q15513-1","NP_006533.1",""
"Q15517-1","NP_001255.3",""
"Q9BWH2-1","NP_076423.2",""
"Q8NHV1-1","NP_694968.1",""
"Q6TDP4-1","NP_938073.1",""
"P05013-1","NP_066282.1",""
"Q9C0J9-1","NP_110389.1",""
"P05014-1","NP_066546.1",""
"Q10586-1","NP_001343.2",""
"Q10589-1","NP_004326.1",""
"Q68DK2-1","NP_056161.2",""
"O00268-1","NP_003176.2",""
"Q8N7U7-1","NP_940881.2",""
"P08861-1","NP_031378.1",""
"Q7Z3Z4-1","NP_689644.2",""
"O60244-1","NP_004220.2",""
"Q7Z3Z0-1","NP_853512.1",""
"Q7Z3Z3-1","NP_001008496.2",""
"A8MZG2-1","NP_001073993.1",""
"Q9NQ50-1","NP_003767.2",""
"Q7Z3I7-1","NP_689625.2",""
"P56556-1","NP_002481.2",""
"P56555-1","NP_005858.1",""
"O60248-1","NP_008873.1",""
"Q92819-1","NP_005319.1",""
"Q96RA2-1","NP_787079.1",""
"O95342-1","NP_003733.2",""
"O95343-1","NP_005404.1",""
"Q9P217-1","NP_065934.1",""
"Q9UJ90-1","NP_036414.1",""
"Q9Y666-1","NP_006589.2",""
"D6RCP7-1","NP_001243789.1",""
"Q9NQH7-1","NP_071381.1",""
"P29460-1","NP_002178.2",""
"Q12980-1","NP_001070818.1",""
"Q8N6M3-1","NP_001073941.1",""
"Q07065-1","NP_006816.2",""
"C9JCN9-1","NP_001129652.1",""
"Q8N6M5-1","NP_060906.3",""
"Q7RTU3-1","NP_786923.1",""
"Q8N6M8-1","NP_689610.2",""
"Q8N6M9-1","NP_872297.2",""
"P28330-1","NP_001599.1",""
"P62829-1","NP_000969.1",""
"Q9H3N1-1","NP_110382.3",""
"P18615-1","NP_002895.3",""
"P17026-1","NP_008894.2",""
"P02743-1","NP_001630.1",""
"O43915-1","NP_004460.1",""
"O43918-1","NP_000374.1",""
"P02749-1","NP_000033.2",""
"P01210-1","NP_001129162.1",""
"O95967-1","NP_058634.4",""
"Q5HYW2-1","NP_001013649.2",""
"Q9UKX3-1","NP_003793.2",""
"Q96QS6-1","NP_149117.1",""
"P17023-1","NP_008892.2",""
"Q96QS3-1","NP_620689.1",""
"O95968-1","NP_006543.1",""
"O95969-1","NP_006542.1",""
"Q8NHA4-1","NP_001005276.1",""
"Q9H1U4-1","NP_001073966.2",""
"Q99877-1","NP_003511.1",""
"Q9H1U9-1","NP_219480.1",""
"Q56UQ5-1","NP_997305.2",""
"Q8TD23-1","NP_612203.2",""
"P35626-1","NP_005151.2",""
"Q8TAL6-1","NP_976249.1",""
"Q8NAF0-1","NP_689813.2",""
"B4DJY2-1","NP_001130006.1",""
"Q9UHD9-1","NP_038472.2",""
"Q86TB3-1","NP_443179.3",""
"Q92508-1","NP_001136336.2",""
"Q92506-1","NP_055049.1",""
"Q9UJH8-1","NP_076947.1",""
"Q6IS24-1","NP_071924.1",""
"P23378-1","NP_000161.2",""
"P19338-1","NP_005372.2",""
"P17482-1","NP_076922.1",""
"P17483-1","NP_076920.1",""
"Q8TD20-1","NP_660159.1",""
"P50993-1","NP_000693.1",""
"Q96I27-1","NP_660276.2",""
"Q13217-1","NP_006251.1",""
"Q13219-1","NP_002572.2",""
"Q99683-1","NP_005914.1",""
"Q8NEQ6-1","NP_849162.1",""
"O75385-1","NP_003556.1",""
"O75319-1","NP_003575.2",""
"Q8N159-1","NP_694551.1",""
"Q96BR5-1","NP_075565.2",""
"Q6VVB1-1","NP_940988.2",""
"Q8IXX5-1","NP_612400.3",""
"Q01851-1","NP_006228.3",""
"O15432-1","NP_001851.1",""
"P48742-1","NP_005559.2",""
"O95502-1","NP_055108.2",""
"Q6BEB4-1","NP_001003845.1",""
"Q99536-1","NP_006364.2",""
"Q5TGL8-1","NP_899229.2",""
"P11086-1","NP_002677.1",""
"A6NG13-1","NP_001264282.1",""
"P41091-1","NP_001406.1",""
"Q96NY8-1","NP_112178.2",""
"Q4VC12-1","NP_001019764.1",""
"Q15365-1","NP_006187.2",""
"Q8IUK5-1","NP_065138.2",""
"Q8IXE1-1","NP_001004724.1",""
"Q9Y5C1-1","NP_055310.1",""
"Q9NS69-1","NP_064628.1",""
"Q9NX18-1","NP_060311.1",""
"P08574-1","NP_001907.2",""
"Q9NS67-1","NP_061844.1",""
"Q9NS64-1","NP_062819.1",""
"P12755-1","NP_003027.1",""
"Q96PE2-1","NP_055601.2",""
"Q6ZRT6-1","NP_001013672.1",""
"Q9NPH9-1","NP_060872.1",""
"Q5T481-1","NP_001127835.2",""
"Q9HC44-1","NP_067652.1",""
"Q8ND82-1","NP_060136.1",""
"O14745-1","NP_004243.1",""
"Q96I24-1","NP_003925.1",""
"P16442-1","NP_065202.2",""
"Q9NZK7-1","NP_055404.1",""
"P15259-1","NP_000281.2",""
"P50406-1","NP_000862.1",""
"P50402-1","NP_000108.1",""
"P58182-1","NP_039224.2",""
"P58180-1","NP_001004707.1",""
"P58181-1","NP_001003745.1",""
"A6NEL2-1","NP_001025041.1",""
"Q15334-1","NP_004131.3",""
"P0C0P6-1","NP_001025184.1",""
"Q8NCH0-1","NP_569735.1",""
"Q9HAU8-1","NP_060696.4",""
"Q538Z0-1","NP_001122091.2",""
"H3BU77-1","NP_001182566.1",""
"Q9BR61-1","NP_115736.1",""
"Q99878-1","NP_066544.1",""
"P52803-1","NP_001953.1",""
"Q9Y4G8-1","NP_055062.1",""
"P55291-1","NP_004924.1",""
"Q96C00-1","NP_689948.1",""
"Q9P2P6-1","NP_065810.2",""
"Q9HAH7-2","NP_001098549.2",""
"Q9P2P1-1","NP_079357.2",""
"Q5T215-1","NP_001132916.1",""
"Q9H7J1-1","NP_001263247.1",""
"E5RJ46-1","NP_001229597.1",""
"Q6P5R6-1","NP_001093115.1",""
"O60831-1","NP_009144.1",""
"Q00169-1","NP_006215.1",""
"Q9NTU4-1","NP_001034585.1",""
"Q9NTU7-1","NP_542184.1",""
"Q9BS92-1","NP_060846.2",""
"Q9Y2V3-1","NP_038463.2",""
"Q5TFG8-1","NP_001013645.1",""
"Q6PI25-1","NP_872359.1",""
"Q969X0-1","NP_659495.1",""
"Q92575-1","NP_055422.1",""
"A4D0T2-1","NP_001019778.1",""
"B2CW77-1","NP_001119521.1",""
"Q9P1Z3-1","NP_065948.1",""
"Q04844-1","NP_000071.1",""
"Q9P0J7-1","NP_064507.3",""
"O75409-1","NP_036406.1",""
"Q8NBJ5-1","NP_078932.2",""
"Q9UL25-1","NP_055814.1",""
"Q8NBJ9-1","NP_001035545.1",""
"Q9Y3N9-1","NP_112165.1",""
"Q9H756-1","NP_075052.1",""
"Q9BSE5-1","NP_079034.3",""
"P41218-1","NP_002423.1",""
"P01024-1","NP_000055.2",""
"O00526-1","NP_006751.1",""
"Q9BTA0-1","NP_116037.2",""
"Q9UHR4-1","NP_061330.2",""
"Q96PG2-1","NP_996776.2",""
"Q8NGL0-1","NP_001004739.1",""
"Q9Y4D2-1","NP_006124.1",""
"Q8NGL3-1","NP_001004735.1",""
"Q9Y4D7-1","NP_055918.2",""
"Q8NGL7-1","NP_001004124.1",""
"Q13023-1","NP_004265.3",""
"Q8NGL9-1","NP_001004701.2",""
"Q13021-1","NP_005425.1",""
"Q7Z4L5-1","NP_079029.3",""
"Q9BRQ5-1","NP_689501.1",""
"Q96R48-1","NP_036497.1",""
"Q9BRQ4-1","NP_116319.2",""
"P18283-1","NP_002074.2",""
"Q7Z4L0-1","NP_892016.1",""
"Q8N302-1","NP_060516.2",""
"Q96R47-1","NP_001001659.1",""
"Q86U17-1","NP_001073920.1",""
"Q6AI08-1","NP_071353.4",""
"Q8IYU8-1","NP_689939.1",""
"Q9BRQ0-1","NP_612157.1",""
"Q6VUC0-1","NP_848643.2",""
"Q99946-1","NP_085154.3",""
"Q99944-1","NP_085155.1",""
"Q9NPI8-1","NP_073562.1",""
"Q86UF2-1","NP_848656.2",""
"Q9UKK9-1","NP_054861.2",""
"Q6JVE6-1","NP_001001712.2",""
"Q96JJ7-1","NP_061895.3",""
"Q92529-1","NP_058544.3",""
"Q6NT16-1","NP_439896.1",""
"A1KZ92-1","NP_653252.3",""
"Q7Z6J4-1","NP_775829.2",""
"Q6B9Z1-1","NP_001002923.1",""
"Q7Z6J6-1","NP_116281.2",""
"Q14249-1","NP_004426.2",""
"Q7Z6J9-1","NP_997229.2",""
"Q14240-1","NP_001958.2",""
"Q8IWX8-1","NP_006378.3",""
"P24928-1","NP_000928.1",""
"Q8IU99-1","NP_001001412.3",""
"A2RUQ5-1","NP_997337.2",""
"P19429-1","NP_000354.4",""
"P43308-1","NP_003136.1",""
"Q8N6P7-1","NP_067081.2",""
"Q96SQ9-1","NP_085125.1",""
"P46695-1","NP_003888.2",""
"Q8IXL9-1","NP_982248.1",""
"Q6XD76-1","NP_982260.2",""
"Q96LT6-1","NP_689698.1",""
"P23352-1","NP_000207.2",""
"O94955-1","NP_055714.3",""
"O94953-1","NP_055830.1",""
"Q9H9H5-1","NP_079147.1",""
"Q9H3V2-1","NP_076434.2",""
"Q86YB8-1","NP_063944.3",""
"P41968-1","NP_063941.3",""
"Q96EV2-1","NP_444271.2",""
"Q8NCU7-1","NP_997205.2",""
"A8MYU2-1","NP_001027006.2",""
"Q8NCU4-1","NP_065868.1",""
"A0A0G2JKD1-1","NP_001309299.1",""
"Q16790-1","NP_001207.2",""
"P15088-1","NP_001861.2",""
"O14910-1","NP_004655.1",""
"P15085-1","NP_001859.1",""
"A6NLE4-1","NP_001276899.1",""
"O43345-1","NP_009084.2",""
"P25787-1","NP_002778.1",""
"P49427-1","NP_004350.1",""
"Q5TA81-1","NP_848516.1",""
"O60220-1","NP_004076.1",""
"Q5TA82-1","NP_848517.1",""
"O43716-1","NP_789788.1",""
"Q9NR20-1","NP_003836.1",""
"P30279-1","NP_001750.1",""
"O15372-1","NP_003747.1",""
"O43809-1","NP_008937.1",""
"Q8NBF6-1","NP_055875.1",""
"A6NIM6-1","NP_001164269.1",""
"Q9UNG2-1","NP_005083.2",""
"P63220-1","NP_001015.1",""
"Q86SX6-1","NP_057501.2",""
"Q96HA7-1","NP_038460.4",""
"Q8TBB6-1","NP_066000.2",""
"A6NC42-1","NP_001020461.1",""
"Q2M3D2-1","NP_612635.3",""
"Q13569-1","NP_003202.3",""
"O95777-1","NP_057284.1",""
"Q8WWA0-1","NP_060095.2",""
"Q13563-1","NP_000288.1",""
"Q9BWJ5-1","NP_112577.1",""
"Q9BY08-1","NP_115954.1",""
"Q8NE63-1","NP_653286.2",""
"A6NHY2-1","NP_001263642.1",""
"P01909-1","NP_002113.2",""
"Q8IUC3-1","NP_853637.2",""
"P01903-1","NP_061984.2",""
"O75165-1","NP_056083.3",""
"Q9H2M9-1","NP_036546.2",""
"Q14258-1","NP_005073.2",""
"P49720-1","NP_002786.2",""
"Q9NV06-1","NP_056235.4",""
"O00160-1","NP_036467.2",""
"Q96AQ8-1","NP_001026883.1",""
"Q96AQ9-1","NP_872429.2",""
"Q9UQ49-1","NP_006647.3",""
"Q7L3V2-1","NP_078903.3",""
"Q6IBS0-1","NP_009215.1",""
"Q9Y625-1","NP_005699.1",""
"Q08708-1","NP_006669.1",""
"Q5VWX1-1","NP_689901.2",""
"O15297-1","NP_003611.1",""
"Q00577-1","NP_005850.1",""
"Q12965-1","NP_004989.2",""
"Q9NXV2-1","NP_061865.1",""
"Q12962-1","NP_006275.1",""
"Q96CW6-1","NP_115554.2",""
"P62841-1","NP_001009.1",""
"Q01628-1","NP_066362.2",""
"Q01629-1","NP_006426.2",""
"P09228-1","NP_001313.1",""
"A1E959-1","NP_060325.3",""
"Q96KV7-1","NP_660337.3",""
"Q9Y6Y0-1","NP_006460.2",""
"Q4G0M1-1","NP_001278761.1",""
"P28065-1","NP_002791.1",""
"O60739-1","NP_005866.1",""
"O95948-1","NP_004843.2",""
"Q9GZM5-1","NP_056203.2",""
"Q9GZM6-1","NP_001002918.1",""
"P35354-1","NP_000954.1",""
"P60568-1","NP_000577.2",""
"Q70IA8-1","NP_958805.1",""
"Q9NPY3-1","NP_036204.2",""
"Q8TDB6-1","NP_612144.1",""
"A0A1B0GUV7-1","NP_001186162.1",""
"P00403-1","YP_003024029.1",""
"Q92560-1","NP_004647.1",""
"Q92565-1","NP_036426.3",""
"Q7Z5A4-1","NP_874361.1",""
"P52564-1","NP_002749.2",""
"P42695-1","NP_056076.1",""
"Q9HAT8-1","NP_067078.1",""
"Q5JV73-1","NP_115804.1",""
"Q96HE9-1","NP_060774.2",""
"Q7L273-1","NP_060104.2",""
"Q5VZP5-1","NP_001073895.1",""
"Q8WU76-1","NP_689753.2",""
"Q96HE7-1","NP_055399.1",""
"P10916-1","NP_000423.2",""
"Q9H255-1","NP_110401.1",""
"Q5JUQ0-1","NP_203745.2",""
"Q8N9Z2-1","NP_787080.2",""
"Q7Z6R9-1","NP_758438.2",""
"P14635-1","NP_114172.1",""
"P07996-1","NP_003237.2",""
"O95562-1","NP_955376.1",""
"Q6UW49-1","NP_663633.1",""
"O95561-1","NP_640333.3",""
"O95567-1","NP_056185.1",""
"Q6PII3-1","NP_057558.3",""
"Q96BP2-1","NP_976043.1",""
"Q6ZQQ6-1","NP_114157.4",""
"Q86X51-1","NP_981952.1",""
"Q86X52-1","NP_055733.2",""
"Q86X53-1","NP_997215.1",""
"Q71F23-1","NP_078905.2",""
"Q86X59-1","NP_982249.2",""
"Q52LJ0-2","NP_775882.2",""
"Q3KRB8-1","NP_001034930.1",""
"Q96RQ1-1","NP_057654.2",""
"Q96RJ3-1","NP_443177.1",""
"P07438-1","NP_005938.1",""
"O95528-1","NP_110404.1",""
"P33778-1","NP_066406.1",""
"Q9Y5E9-1","NP_061757.1",""
"Q8IUI8-1","NP_057070.3",""
"Q9Y5E1-1","NP_061992.3",""
"Q9C0E4-1","NP_001073892.3",""
"Q9Y5E5-1","NP_061761.1",""
"Q9Y5E4-1","NP_056484.2",""
"Q9Y5E7-1","NP_061759.1",""
"Q9Y5E6-1","NP_061760.1",""
"P07339-1","NP_001900.1",""
"P23515-1","NP_002535.3",""
"P61769-1","NP_004039.1",""
"Q9BRC7-1","NP_116115.1",""
"P10606-1","NP_001853.2",""
"Q9NZI6-1","NP_055368.1",""
"Q9HD15-1","NP_001030312.2",""
"A6NER0-1","NP_115634.3",""
"Q9UBG0-1","NP_006030.2",""
"P62079-1","NP_005714.2",""
"O14764-1","NP_000806.2",""
"P55103-1","NP_005529.1",""
"Q96L12-1","NP_659483.2",""
"P55107-1","NP_004953.1",""
"D3W0D1-1","NP_001177694.1",""
"P10147-1","NP_002974.1",""
"Q9BR46-1","NP_001229600.1",""
"Q92791-1","NP_006446.1",""
"Q99518-1","NP_001451.2",""
"P80098-1","NP_006264.2",""
"Q8NCN4-1","NP_001092108.1",""
"P52823-1","NP_003146.1",""
"P52824-1","NP_001338.2",""
"Q3MIX3-1","NP_777582.4",""
"Q5T7R7-1","NP_001129980.1",""
"Q5BIV9-1","NP_001012526.2",""
"Q5T230-1","NP_003568.2",""
"A0PJW8-1","NP_001017920.2",""
"Q9UMX6-1","NP_002089.4",""
"P17735-1","NP_000344.1",""
"Q9UMX5-1","NP_037481.1",""
"Q8N8U2-1","NP_689555.2",""
"Q70JA7-1","NP_787052.3",""
"A6NDP7-1","NP_001138585.2",""
"Q13794-1","NP_066950.1",""
"Q13797-1","NP_002198.2",""
"Q96NL8-1","NP_808880.1",""
"Q13790-1","NP_001629.1",""
"Q8N565-1","NP_060470.2",""
"Q96EX3-1","NP_443076.2",""
"Q2M329-1","NP_699207.1",""
"Q7Z7G1-1","NP_443196.2",""
"Q96NL1-1","NP_694560.1",""
"Q96NL3-1","NP_001007249.1",""
"Q5BKX8-1","NP_001018126.1",""
"Q6IQ55-1","NP_775771.3",""
"Q9Y3L3-1","NP_061830.3",""
"P05204-1","NP_005508.1",""
"Q8N609-1","NP_689615.2",""
"Q9NWS0-1","NP_060386.1",""
"Q86WS3-1","NP_776162.2",""
"P01040-1","NP_005204.1",""
"O00548-1","NP_005609.3",""
"Q15027-1","NP_055531.1",""
"Q15021-1","NP_055680.3",""
"Q15020-1","NP_055521.1",""
"Q7L0X0-1","NP_055632.2",""
"Q86V85-1","NP_851320.1",""
"Q86V87-1","NP_073586.5",""
"Q86V86-1","NP_001001852.2",""
"Q86V81-1","NP_005773.3",""
"O15173-1","NP_006311.2",""
"Q9HD90-1","NP_067014.2",""
"Q8NGJ8-1","NP_001004758.1",""
"Q5W186-1","NP_001008693.2",""
"O95219-1","NP_003785.1",""
"Q8NGJ2-1","NP_001005289.1",""
"Q8NGJ3-1","NP_001335150.1",""
"Q8NGJ1-1","NP_001004708.1",""
"Q8NGJ6-1","NP_001005329.1",""
"Q8NGJ7-1","NP_001004748.1",""
"Q9BXN6-1","NP_115793.1",""
"Q8NGJ5-1","NP_001004755.1",""
"Q2M2E3-1","NP_694552.2",""
"Q2M2E5-1","NP_775938.1",""
